device_id,name,name_by_user,name_original,manufacturer,model,sw_version,hw_version,via_device_id,identifiers,config_entries,disabled_by
fcc253ca311ca9faca2edb8412d21c3b,Sun,,Sun,,,,,,"[['sun', '01K93B37HAFZYNWRMJ2XEQEKNN']]",['01K93B37HAFZYNWRMJ2XEQEKNN'],
fc392bbd5fa7ae937bec841ddd686fbc,Home Assistant Core,,Home Assistant Core,Home Assistant,Home Assistant Core,2026.1.3,,,"[['hassio', 'core']]",['01K93B37S72HB76ECN0X0TY4YM'],
23d9c4dd0d5aa715172b41aa8703301a,Home Assistant Supervisor,,Home Assistant Supervisor,Home Assistant,Home Assistant Supervisor,2026.01.1,,,"[['hassio', 'supervisor']]",['01K93B37S72HB76ECN0X0TY4YM'],
8c728f2dd5e1a24283143042bbc64cb9,Home Assistant Host,,Home Assistant Host,Home Assistant,Home Assistant Host,,,,"[['hassio', 'host']]",['01K93B37S72HB76ECN0X0TY4YM'],
b3bdcd41c7a21994ab08ae0c3a373c4c,Home Assistant Operating System,,Home Assistant Operating System,Home Assistant,Home Assistant Operating System,17.0,,,"[['hassio', 'OS']]",['01K93B37S72HB76ECN0X0TY4YM'],
c98adaf4a271152e8546a7f3e218381d,Backup,,Backup,Home Assistant,Home Assistant Backup,2026.1.3,,,"[['backup', 'backup_manager']]",['01K93B3AT7CC5DYXJN4XMXRCAS'],
66644df4da687fb0226dad35d64f1006,Matter Server,,Matter Server,Official add-ons,Home Assistant Add-on,8.2.2,,,"[['hassio', 'core_matter_server']]",['01K93B37S72HB76ECN0X0TY4YM'],
cb61278de7135bd1f31be96d1a46cfc0,Forecast,,Forecast,Met.no,Forecast,,,,"[['met', '01K93BKGK2ZQWCCVZPBDP6B04G']]",['01K93BKGK2ZQWCCVZPBDP6B04G'],
d24fd5f1671982f59bbcfe485fa4374f,giovanis-macbook-air,,giovanis-macbook-air,Tailscale Inc.,macOS,1.90.4-t0d7298602-g1c96c3ed9,,,"[['tailscale', '2068053851776627']]",['01K93BYEE5DG2T0FG2PFAKRKWB'],config_entry
c8faa6d3906d623caeed52b012fc7ca2,iphone171,,iphone171,Tailscale Inc.,iOS,1.90.4-t0d7298602-g1c96c3ed9,,,"[['tailscale', '3270574746999596']]",['01K93BYEE5DG2T0FG2PFAKRKWB'],config_entry
281e839a5db91eb46e46ec5f92f0f0eb,raspberrypi,,raspberrypi,Tailscale Inc.,linux,1.90.6-t0238943bb-g1851f6203,,,"[['tailscale', '2164986700281123']]",['01K93BYEE5DG2T0FG2PFAKRKWB'],config_entry
d71d4b0b4f377464f52177c8bfeae3af,Get HACS,,Get HACS,HACS Add-ons Repository,Home Assistant Add-on,1.3.1,,,"[['hassio', 'cb646a50_get']]",['01K93B37S72HB76ECN0X0TY4YM'],
450954e6f0b51112754efabe754a2559,HACS,,HACS,hacs.xyz,,2.0.5,,,"[['hacs', '0717a0cd-745c-48fd-9b16-c8534c9704f9-bc944b0f-fd42-4a58-a072-ade38d1444cd']]",['01K93FAFNYHZAM7HQQ5Z0H64Y3'],
712333080d0c2f49424706f2455d827f,Hubitat,,Hubitat,jason0x43,integration,,,,"[['hacs', '235943258']]",['01K93FAFNYHZAM7HQQ5Z0H64Y3'],
d48d13bdc86a53fbe5cb20114b76aa90,homeassistant,,homeassistant,Tailscale Inc.,linux,1.88.1-t032962f4b-gc5ad3b22f,,,"[['tailscale', '5819076407853645']]",['01K93BYEE5DG2T0FG2PFAKRKWB'],config_entry
8b7c781d5e3a39c38c5f90edb6480f91,Advanced SSH & Web Terminal,,Advanced SSH & Web Terminal,Home Assistant Community Add-ons,Home Assistant Add-on,22.0.3,,,"[['hassio', 'a0d7b954_ssh']]",['01K93B37S72HB76ECN0X0TY4YM'],
8daf55aae02e0e48c4ba994dedf8479f,Kitchen motion nightlight,,Kitchen motion nightlight,Hubitat,Third Reality Multi-Function Night Light,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:35']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
346fb14b46bfba5f8593718cdcacb1c9,Front room motion night light,,Front room motion night light,Hubitat,Third Reality Multi-Function Night Light,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:36']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
80aae838a4e9f2e7dbb9c0d84b862e74,Master motion night light,,Master motion night light,Hubitat,Third Reality Multi-Function Night Light,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:37']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
209e1881b0c6d8798019b5d7b09290ff,Basement motion night light,,Basement motion night light,Hubitat,Third Reality Multi-Function Night Light,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:38']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
3d4d0097076ea4f9bf499fbcbed2d618,grp iPhone ,,grp iPhone ,Hubitat,Mobile App Device,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:1']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
f5a17a2f234bd79af2df786fc6db69af,Alison’s iPhone ,,Alison’s iPhone ,Hubitat,Mobile App Device,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:57']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
141d82b5743b9115aafa8c55f44d6b60,Main water cutoff,,Main water cutoff,Hubitat,Zooz ZAC36 Ball Valve Controller,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:39']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
3a8696eee1a2e8597c5a3f490f085ded,Boiler room water sensor,,Boiler room water sensor,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:40']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
b8d2be02fcedf16913cf1681321c0024,Basement kitchen sink water sensor,,Basement kitchen sink water sensor,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:41']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
e061a595012bb67555d917375b990347,Half bath water sensor,,Half bath water sensor,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:42']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
9262d1adeaa3b05ea33b4287c89834c3,Kitchen island sink,,Kitchen island sink,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:43']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
e7aeef9678ac957203988d84783da3f4,Kitchen sink,,Kitchen sink,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:44']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
08de7e5b88fd7aac36d92ea00915ffa4,Alison sink,,Alison sink,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:45']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
5e635911e15c6f4fbba20b545fbd58cc,GIOVANI sink,,GIOVANI sink,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:46']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
dd8a7cc4bedce417cd06eef5087f40d8,Master toilet,,Master toilet,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:47']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
3c438c4a6c31d5ec5dffd60c65680f6c,Kid room sink,,Kid room sink,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:48']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
40d344de896118a4deb4e7dbed478978,Upstairs bath toilet,,Upstairs bath toilet,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:49']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
ae6c910f1fd2ab80c10ab644a021b14b,Office sink upstairs,,Office sink upstairs,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:50']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
